"","SBUX.Open","SBUX.High","SBUX.Low","SBUX.Close","SBUX.Volume","SBUX.Adjusted"
"1",17.799999,18.1,17.32,17.625,18034600,15.110347
"2",17.684999,17.75,17.395,17.645,14656000,15.127498
"3",17.559999,17.645,17.485001,17.57,13131400,15.063192
"4",17.455,17.629999,17.450001,17.504999,11614400,15.007472
"5",17.5,17.695,17.35,17.43,14305000,14.943168
"6",17.35,17.389999,17.084999,17.375,18658400,14.896019
"7",17.25,18.02,17.25,17.905001,17787400,15.3504
"8",17.92,18.17,17.875,17.950001,12618400,15.388976
"9",18,18.184999,17.855,18.110001,9409800,15.526151
"10",18.129999,18.26,18.094999,18.145,12711200,15.55616
"11",18.264999,18.305,17.780001,17.885,12058200,15.333251
"12",17.764999,17.969999,17.700001,17.77,13125800,15.234665
"13",17.75,17.799999,17.5,17.645,11134600,15.127498
"14",17.65,17.834999,17.41,17.475,12573000,14.98175
"15",17.6,17.639999,17.389999,17.395,16345800,14.913163
"16",17.344999,17.370001,16.940001,16.985001,20933800,14.561665
"17",17.084999,17.195,16.745001,16.940001,21918400,14.523078
"18",17.035,17.395,16.83,17.280001,22260200,14.814573
"19",17.594999,17.68,17.26,17.280001,28372200,14.814573
"20",17.315001,17.58,17.184999,17.469999,21878800,14.977463
"21",17.565001,17.709999,17.190001,17.205,27823800,14.750273
"22",17.290001,17.290001,17.01,17.135,15402400,14.690256
"23",17.105,17.145,16.940001,17.01,15551200,14.583096
"24",17.025,17.045,16.635,16.834999,23613800,14.43306
"25",16.84,16.995001,16.639999,16.834999,16508600,14.43306
"26",16.834999,16.885,16.575001,16.709999,24264000,14.325898
"27",16.745001,16.805,16.450001,16.48,15744600,14.128708
"28",16.450001,16.48,16.190001,16.334999,16309600,14.004402
"29",16.389999,16.49,16.235001,16.33,16651000,14.000114
"30",16.375,16.725,16.360001,16.67,19788400,14.291604
"31",16.67,16.67,16.5,16.610001,13726600,14.240164
"32",16.700001,16.700001,16.434999,16.504999,13687400,14.15014
"33",16.5,16.52,16.23,16.41,20521400,14.068699
"34",16.315001,16.41,16.135,16.200001,20896200,13.888659
"35",16.205,16.514999,16.139999,16.504999,23909200,14.15014
"36",16.5,16.57,16.355,16.375,25196200,14.038692
"37",16.299999,16.299999,15.905,16.004999,20676600,13.721483
"38",15.825,15.905,15.25,15.375,37955200,13.181366
"39",15.375,15.69,15.12,15.45,20787000,13.245665
"40",15.1,15.4,15.005,15.195,24392800,13.027048
"41",15,15.145,14.9,14.94,28450000,12.808429
"42",14.8,14.905,14.655,14.705,23284200,12.606957
"43",14.94,15.11,14.885,15,21349400,12.85987
"44",15,15.37,14.975,15.235,28198400,13.06134
"45",15.445,15.725,15.315,15.35,30076800,13.159937
"46",15.46,15.495,15.035,15.155,20225000,12.992758
"47",15.2,15.24,14.955,15.035,21363200,12.889876
"48",14.98,15.045,14.635,14.68,22052400,12.585526
"49",14.67,14.715,14.43,14.66,27565400,12.568378
"50",14.72,14.895,14.705,14.795,17967000,12.68412
"51",15.155,15.575,15.025,15.29,51052600,13.108495
"52",15.47,15.705,15.42,15.52,24575600,13.30568
"53",15.59,15.8,15.51,15.69,27376200,13.451423
"54",15.845,16.135,15.73,16.135,31101000,13.832932
"55",16.195,16.225,15.76,15.82,27936000,13.562879
"56",15.875,15.875,15.6,15.71,18907400,13.46857
"57",16.075001,16.075001,15.685,15.975,24632200,13.695763
"58",15.975,16,15.8,15.86,20935000,13.59717
"59",15.8,15.845,15.605,15.64,30295800,13.40856
"60",15.79,15.845,15.48,15.665,19747200,13.429989
"61",15.645,15.76,15.5,15.68,14512000,13.442852
"62",15.77,15.785,15.525,15.625,13401600,13.395698
"63",15.715,15.99,15.655,15.745,16233600,13.49858
"64",15.895,15.895,15.64,15.67,14259400,13.434279
"65",15.675,15.785,15.62,15.7,13304800,13.460001
"66",15.76,15.76,15.525,15.57,12981600,13.348546
"67",15.53,15.64,15.44,15.58,16442600,13.35712
"68",15.585,15.6,15.25,15.365,29346400,13.172795
